"DRS_ID","OwnerSuppliedName","Geographic Scope","URN","HOLLIS","SEQUENCE","MAP"
44717977,"013319662_v3_0045","Nile Delta and Environs","urn-3:FHCL:9696126","013319662",536,
44717978,"013319662_v3_0046","North African Coast from Tripoli to Benghazi","urn-3:FHCL:9696127","013319662",537,
44717979,"013319662_v3_0047","Sicily and Vicinity","urn-3:FHCL:9696128","013319662",538,
44717980,"013319662_v3_0052","Northwestern Spain and the Bay of Biscay","urn-3:FHCL:9696129","013319662",543,
44717981,"013319662_v3_0053","Bay of Biscay: Aviles to Santander","urn-3:FHCL:9696130","013319662",544,
44717982,"013319662_v3_0056","Northern Bay of Biscay: Brest to Saint-Nazaire","urn-3:FHCL:9696131","013319662",547,
44717983,"013319662_v3_0057","English Channel","urn-3:FHCL:9696132","013319662",548,
44717984,"013319662_v3_0059","Ireland and Irish Sea","urn-3:FHCL:9696133","013319662",550,
44717985,"013319662_v3_0067","Amsterdam and Northern Germany","urn-3:FHCL:9696134","013319662",558,
44717986,"013319662_v3_0068","Amsterdam and Northern Germany","urn-3:FHCL:9696135","013319662",559,
44717987,"013319662_v3_0069","Copenhagen and Environs","urn-3:FHCL:9696136","013319662",560,
44717988,"013319662_v3_0070","Skagerrak and Kattegatt","urn-3:FHCL:9696137","013319662",561,
44717989,"013319662_v3_0072","Baltic Sea and Gulf of Riga","urn-3:FHCL:9696138","013319662",563,
44717990,"013319662_v3_0074","Gulf of Finland","urn-3:FHCL:9696139","013319662",565,
44717991,"013319662_v3_0077","Norwegian Sea","urn-3:FHCL:9696140","013319662",568,
44717992,"013319662_v3_0079","Lapland and the White Sea","urn-3:FHCL:9696141","013319662",570,
44717993,"013319662_v3_0080","Novaya Zemlya","urn-3:FHCL:9696142","013319662",571,
44717994,"013319662_v3_0081","Svalbard","urn-3:FHCL:9696143","013319662",572,
44717995,"013319662_v3_0082","Iceland","urn-3:FHCL:9696144","013319662",573,
44717996,"013319662_v3_0083","Eastern Greenland","urn-3:FHCL:9696145","013319662",574,
44717997,"013319662_v3_0084","Hudson Bay and Northwestern Passages","urn-3:FHCL:9696146","013319662",575,
44717998,"013319662_v3_0086","Hudson Strait and Hudson Bay","urn-3:FHCL:9696147","013319662",577,
44717999,"013319662_v3_0093","Coast of Morocco","urn-3:FHCL:9696148","013319662",584,
44718000,"013319662_v3_0094","The Azores","urn-3:FHCL:9696149","013319662",585,
44718001,"013319662_v3_0095","Canary Islands and Vicinity","urn-3:FHCL:9696150","013319662",586,
44718002,"013319662_v3_0096","Cape Verde Islands and Senegal","urn-3:FHCL:9696151","013319662",587,
44718003,"013319662_v3_0097","Cape Verde and Eastern Caribbean","urn-3:FHCL:9696152","013319662",588,
44718004,"013319662_v3_0098","Sierra Leone and Norteastern Brazil","urn-3:FHCL:9696153","013319662",589,
44718005,"013319662_v3_0099","Northern Gulf of Guinea","urn-3:FHCL:9696154","013319662",590,
44718006,"013319662_v3_0101","Western Africa from Gabon to Namibia","urn-3:FHCL:9696155","013319662",592,
44718007,"013319662_v3_0103","Southern Africa and Cape of Good Hope","urn-3:FHCL:9696156","013319662",594,
44718008,"013319662_v3_0104","Madagascar and Mozambique Channel","urn-3:FHCL:9696157","013319662",595,
44718009,"013319662_v3_0106","Northern Madagascar and Glorioso Islands","urn-3:FHCL:9696158","013319662",597,
44718010,"013319662_v3_0109","Red Sea, Gulf of Aden, and Arabian Sea","urn-3:FHCL:9696159","013319662",600,
44718011,"013319662_v3_0122","Gulf of Oman and Arabian Sea","urn-3:FHCL:9696160","013319662",613,
44718012,"013319662_v3_0123","India and Sri Lanka","urn-3:FHCL:9696161","013319662",614,
44718013,"013319662_v3_0124","Southern Sumatra","urn-3:FHCL:9696162","013319662",615,
44718014,"013319662_v3_0126","Bay of Bengal and Andaman Sea","urn-3:FHCL:9696163","013319662",617,
44718015,"013319662_v3_0127","Gulf of Thailand, Sulu Sea, and Environs","urn-3:FHCL:9696164","013319662",618,
44718016,"013319662_v3_0130","Luzon and Mindoro Islands, Philippines","urn-3:FHCL:9696165","013319662",621,
44718017,"013319662_v3_0132","Celebes Sea and Northern Molucca Sea","urn-3:FHCL:9696166","013319662",623,
44718018,"013319662_v3_0135","Java Sea, Sumatra, and Java","urn-3:FHCL:9696167","013319662",626,
44718019,"013319662_v3_0137","Taiwan Strait and East China Sea","urn-3:FHCL:9696168","013319662",628,
44718020,"013319662_v3_0138","Korea and Japan","urn-3:FHCL:9696169","013319662",629,
44718021,"013319662_v3_0139","Cape Mendocino and North Pacific Ocean","urn-3:FHCL:9696170","013319662",630,
44718022,"013319662_v3_0141","Coral Sea and South Pacific Ocean (Referenced Using Coordinates on Map)","urn-3:FHCL:9696171","013319662",632,
44718023,"013319662_v3_0143","South Pacific Ocean (Referenced Using Coordinates on Map)","urn-3:FHCL:9696172","013319662",634,
44718024,"013319662_v3_0144","Peru and Galapagos Islands","urn-3:FHCL:9696173","013319662",635,
44718025,"013319662_v3_0157","Gulf of Saint Lawrence, Newfoundland, and Nova Scotia","urn-3:FHCL:9696174","013319662",648,
44718026,"013319662_v3_0161","Cuba and Southeastern Gulf of Mexico","urn-3:FHCL:9696175","013319662",652,
44718027,"013319662_v3_0162","Hispaniola and Puerto Rico","urn-3:FHCL:9696176","013319662",653,
44718028,"013319662_v3_0163","Gulf of Mexico","urn-3:FHCL:9696177","013319662",654,
44718029,"013319662_v3_0164","Central America","urn-3:FHCL:9696178","013319662",655,
44718030,"013319662_v3_0165","Panama, Columbia, and the Gulf of Venezuela","urn-3:FHCL:9696179","013319662",656,
44718031,"013319662_v3_0166","Venezuela and Caribbean Sea","urn-3:FHCL:9696180","013319662",657,
44718032,"013319662_v3_0167","Cuba, Hispaniola, and Puerto Rico","urn-3:FHCL:9696181","013319662",658,
44718033,"013319662_v3_0169","Orinoco Delta","urn-3:FHCL:9696182","013319662",660,
44718034,"013319662_v3_0170","Mouth of the Amazon","urn-3:FHCL:9696183","013319662",661,
44718035,"013319662_v3_0172","Northeastern Coast of Brazil","urn-3:FHCL:9696184","013319662",663,
44718036,"013319662_v3_0173","Eastern Coat of Brazil","urn-3:FHCL:9696185","013319662",664,
44718037,"013319662_v3_0174","Cape of Good Hope","urn-3:FHCL:9696186","013319662",665,
44718038,"013319662_v3_0176","Rio de la Plata","urn-3:FHCL:9696187","013319662",667,
44718039,"013319662_v3_0179","Tierra del Fuego","urn-3:FHCL:9696188","013319662",670,
44718040,"013319662_v3_0184","Northern Coast of Peru and Coast of Ecuador","urn-3:FHCL:9696189","013319662",675,
44718041,"013319662_v3_0185","Western Coast of Colombia","urn-3:FHCL:9696190","013319662",676,
44718042,"013319662_v3_0186","Pacific Coast of Southern Mexico and Central America","urn-3:FHCL:9696191","013319662",677,
44718043,"013319662_v3_0187","Gulf of California and Baja Peninsula","urn-3:FHCL:9696192","013319662",678,
44718044,"013319662_v3_0188","West Coast of North America from Cedros Island to Los Angeles","urn-3:FHCL:9696193","013319662",679,
42668952,"006848674_0009","North Sea, Norwegian Sea, Barents Sea","urn-3:FHCL:6712466","006848674",9,
42668953,"006848674_0010","North Sea","urn-3:FHCL:6712467","006848674",10,
42668956,"006848674_0013","Amsterdam and Vicinity","urn-3:FHCL:6712470","006848674",13,
42668961,"006848674_0018","Northern Netherlands","urn-3:FHCL:6712475","006848674",18,
42668964,"006848674_0021","Northwestern Germany","urn-3:FHCL:6712478","006848674",21,
42668967,"006848674_0024","Southwestern Denmark","urn-3:FHCL:6712481","006848674",24,
42668972,"006848674_0029","Skaggerak","urn-3:FHCL:6712486","006848674",29,
42668977,"006848674_0034","Oslo and Vicinity","urn-3:FHCL:6712491","006848674",34,
42668980,"006848674_0037","Kattegat","urn-3:FHCL:6712494","006848674",37,
42668987,"006848674_0044","Copenhagen and Vicinity","urn-3:FHCL:6712501","006848674",44,
42668994,"006848674_0051","Southeastern Sweden","urn-3:FHCL:6712508","006848674",51,
42669001,"006848674_0058","Gotland and Vicinity","urn-3:FHCL:6712515","006848674",58,
42669006,"006848674_0063","Gulf of Riga and Baltic Sea","urn-3:FHCL:6712520","006848674",63,
42669011,"006848674_0068","Saaremaa and Vicinity","urn-3:FHCL:6712525","006848674",68,
42669016,"006848674_0073","Gulf of Finland","urn-3:FHCL:6712530","006848674",73,
42669020,"006848674_0077","Hull and Vicinity","urn-3:FHCL:6712534","006848674",77,
42669027,"006848674_0084","Northeastern Scotland","urn-3:FHCL:6712541","006848674",84,
42669030,"006848674_0087","Northern Scotland and Faroe Islands","urn-3:FHCL:6712544","006848674",87,
42669035,"006848674_0092","Stavanger and Vicinity","urn-3:FHCL:6712549","006848674",92,
42669038,"006848674_0095","Bergen and Vicinity","urn-3:FHCL:6712552","006848674",95,
42669041,"006848674_0098","Alesund and Vicinity","urn-3:FHCL:6712555","006848674",98,
42669044,"006848674_0101","Trondheim and Vicinity","urn-3:FHCL:6712558","006848674",101,
42669047,"006848674_0104","South of Tromso","urn-3:FHCL:6712561","006848674",104,
42669049,"006848674_0106","Confluence of Norwegian and Barents Seas","urn-3:FHCL:6712563","006848674",106,
42669056,"006848674_0113","White Sea","urn-3:FHCL:6712570","006848674",113,
42669063,"006848674_0120","Southwestern White Sea","urn-3:FHCL:6712577","006848674",120,
42669064,"006848674_0121","Kara Sea","urn-3:FHCL:6712578","006848674",121,
42669067,"006848674_0124","North Atlantic","urn-3:FHCL:6712581","006848674",124,
42669068,"006848674_0125","Iceland","urn-3:FHCL:6712582","006848674",125,
42669074,"006848674_0131","Spitsbergen","urn-3:FHCL:6712588","006848674",131,
38021181,"005633462_0047","Scandanavia, Europe, and Western Africa","urn-3:FHCL:5362944","005633462",47,
38021182,"005633462_0048","North Sea","urn-3:FHCL:5362945","005633462",48,
38021183,"005633462_0049","Markermeer and Waddenzee","urn-3:FHCL:5362946","005633462",49,
38021186,"005633462_0052","North Sea and Western Netherlands","urn-3:FHCL:5362949","005633462",52,
38021187,"005633462_0053_MAPA","Den Helder and Vicinity","urn-3:FHCL:5362950","005633462",53,"MAPA"
38021187,"005633462_0053_MAPB","Hellevoetsluis and Vicinity","urn-3:FHCL:5362950","005633462",53,"MAPB"
38021194,"005633462_0060","Zeelandt","urn-3:FHCL:5362957","005633462",60,
38021201,"005633462_0067","North Sea and Oostende","urn-3:FHCL:5362964","005633462",67,
38021206,"005633462_0072","Southeastern England","urn-3:FHCL:5362969","005633462",72,
38021213,"005633462_0079","Hull and Vicinity","urn-3:FHCL:5362976","005633462",79,
38021218,"005633462_0084","Northeastern United Kingdom","urn-3:FHCL:5362981","005633462",84,
38021221,"005633462_0087_MAPA","Shetland Islands","urn-3:FHCL:5362984","005633462",87,"MAPA"
38021221,"005633462_0087_MAPB","Hebrides","urn-3:FHCL:5362984","005633462",87,"MAPB"
38021221,"005633462_0087_MAPC","Faroe Islands","urn-3:FHCL:5362984","005633462",87,"MAPC"
38021226,"005633462_0092","United Kingdom","urn-3:FHCL:5362989","005633462",92,
38021227,"005633462_0093","English Channel","urn-3:FHCL:5362990","005633462",93,
38021232,"005633462_0098","Guernsey, Jersey, and Vicinity","urn-3:FHCL:5362995","005633462",98,
38021241,"005633462_0107","Southwestern England","urn-3:FHCL:5363004","005633462",107,
38021246,"005633462_0112","St. George's Channel","urn-3:FHCL:5363009","005633462",112,
38021253,"005633462_0119","Dublin and Vicinity","urn-3:FHCL:5363016","005633462",119,
38021262,"005633462_0128","Firth of Clyde","urn-3:FHCL:5363025","005633462",128,
38021267,"005633462_0133","Connacht, Ireland","urn-3:FHCL:5363030","005633462",133,
38021270,"005633462_0136","Southwestern Ireland","urn-3:FHCL:5363033","005633462",136,
38021277,"005633462_0143","Bay of Biscay and Strait of Gibraltar","urn-3:FHCL:5363040","005633462",143,
38021278,"005633462_0144","Brest and Vicinity","urn-3:FHCL:5363041","005633462",144,
38021285,"005633462_0151","Bay of Biscay near La Rochelle","urn-3:FHCL:5363048","005633462",151,
38021292,"005633462_0158","Bay of Biscay near Bordeaux","urn-3:FHCL:5363055","005633462",158,
38021295,"005633462_0161_MAPA","Bay of Biscay near Bilbao","urn-3:FHCL:5363058","005633462",161,"MAPA"
38021295,"005633462_0161_MAPB","Bay of Biscay near Ribadeo","urn-3:FHCL:5363058","005633462",161,"MAPB"
38021302,"005633462_0168","Corunna, Spain","urn-3:FHCL:5363065","005633462",168,
38021309,"005633462_0175","Aveiro, Portugal","urn-3:FHCL:5363072","005633462",175,
38021312,"005633462_0178","Lisbon and Vicinity","urn-3:FHCL:5363075","005633462",178,
38021315,"005633462_0181","Cape Saint Vincent","urn-3:FHCL:5363078","005633462",181,
38021318,"005633462_0184","Strait of Gibraltar","urn-3:FHCL:5363081","005633462",184,
38021325,"005633462_0191","Northwestern Coast of Africa","urn-3:FHCL:5363088","005633462",191,
38021326,"005633462_0192_MAPA","Western Coast of Morocco","urn-3:FHCL:5363089","005633462",192,"MAPA"
38021326,"005633462_0192_MAPB","Essaouira","urn-3:FHCL:5363089","005633462",192,"MAPB"
38021333,"005633462_0199","Canary Islands","urn-3:FHCL:5363096","005633462",199,
43607111,"006848674_v002_0009","Western Coasts of Europe and Africa","urn-3:FHCL:8822222","006848674",150,
43607112,"006848674_v002_0010","North Sea","urn-3:FHCL:8822223","006848674",151,
43607115,"006848674_v002_0013","Western Netherlands","urn-3:FHCL:8822226","006848674",154,
43607118,"006848674_v002_0016","Rotterdam and Vicinity","urn-3:FHCL:8822229","006848674",157,
43607123,"006848674_v002_0021","Zeeland and Vicinity","urn-3:FHCL:8822234","006848674",162,
43607128,"006848674_v002_0026","Flanders and Vicinity","urn-3:FHCL:8822239","006848674",167,
43607133,"006848674_v002_0031","Colchester and Vicinity","urn-3:FHCL:8822244","006848674",172,
43607140,"006848674_v002_0038","English Channel and Celtic Sea","urn-3:FHCL:8822251","006848674",179,
43607141,"006848674_v002_0039","Eastern English Channel","urn-3:FHCL:8822252","006848674",180,
43607146,"006848674_v002_0044","Guernsey, Jersey, and Vicinity","urn-3:FHCL:8822257","006848674",185,
43607154,"006848674_v002_0052","English Channel Between Cornwall and Brest","urn-3:FHCL:8822265","006848674",193,
43607169,"006848674_v002_0067","Bristol Channel","urn-3:FHCL:8822280","006848674",208,
43607172,"006848674_v002_0070","Irish Sea","urn-3:FHCL:8822283","006848674",211,
43607179,"006848674_v002_0077","Northern Ireland and Western Scotland","urn-3:FHCL:8822290","006848674",218,
43607182,"006848674_v002_0080","Galway and Vicinity","urn-3:FHCL:8822293","006848674",221,
43607187,"006848674_v002_0085","Southern Ireland","urn-3:FHCL:8822298","006848674",226,
